30,0.4,2,4,0.333
10,0.3,2,4,0.2
30,0.3,2,4,0.333
40,0.2,2,4,0.25
25,0.15,3,4,0.28
30,0.15,3,4,0.3
3,0.36,1.9,7.91,1
100,0.05,4,15,0.85
25,0.05,8,12,0.6
1,0.1,4,20,1
7,0.21,4.08,3.06,0.7
100,0.2,1,5,0.7
10,0.75,1.3,1.5,0.7
20,0.75,1.5,1,0.75
100,0.1,2,5,0.5
30,0.5,1.5,2,0.5
100,0.1,1,10,0.66
220,0.1,5,2,0.9
25,0.4,3,3,0.95
1,0.1,2,20,1
62,0.08,4.1,6.04,0.65
10,0.04,50,4,1
146,0.07,2.02,7.57,0.75
29,0.16,2.51,5.67,0.5
200,0.05,9,4,0.95
50,0.02,50,4,0.96
35,0.15,3,4,0.43
50,0.05,5,10,0.6
200,0.03,4,10,0.8
1,0.1,1,20,1
50,0.15,3,4,0.66
70,0.2,3,3,0.9
50,0.25,3,3,0.9
200,0.02,25,4,0.95
300,0.05,6,4,0.91
31,0.14,2.5,6.79,0.6
28,0.24,1.49,6.85,0.7
9,0.38,2.25,6.81,0.9
110,0.11,4.73,6.29,0.98
1,0.05,4,20,1
269,0.04,2.96,7.66,0.8
40,0.15,3,4,0.525
45,0.11,3.37,6.93,0.8
22,0.31,2.29,5.16,0.9
80,0.25,1,6,0.82
97,0.05,3.74,6.11,0.5
46,0.14,1.46,7.21,0.5
74,0.27,1.07,7.3,0.97
40,0.5,2.5,1,1
1,0.05,2,20,1
45,0.15,3,4,0.6
70,0.3,4,1,1
150,0.15,1,4,0.58
35,0.07,10,4,0.715
100,0.1,2,7.5,0.8
100,0.05,13,4,0.95
92,0.06,4.01,6.55,0.7
116,0.07,4.38,6.82,0.9
47,0.08,4.99,7.55,0.85
1,0.05,5,50,1
50,0.1,15,1.2,0.9
25,0.05,25,2.5,0.8
100,0.3,2,3,1
68,0.09,3.74,5.22,0.735
37,0.2,1.66,7.49,0.81
107,0.18,3.96,0.85,0.5
100,0.075,3,10,0.9
400,0.05,3,3,0.7
160,0.125,3.5,3,0.9
1,0.025,10,20,1
100,0.02,35,4,0.93
10,0.26,3.53,7.89,0.9
279,0.08,1.35,7.53,0.86
20,0.05,30,3,0.95
50,0.05,15,4,0.9
200,0.05,3,6,0.75
200,0.1,3,7,0.975
240,0.06,2.23,6.67,0.833
150,0.05,5,4,0.75
1,0.025,5,20,1
15,0.05,25,4,0.87
200,0.2,2,3,0.975
120,0.225,1,3,0.75
61,0.09,3.79,7.7,0.9
70,0.4,1.5,3,0.97
65,0.19,1.63,5.28,0.8
124,0.08,2.13,7.84,0.81
128,0.05,3.86,5.71,0.66
60,0.15,3,4,0.87
1,0.025,2,20,1
49,0.12,4.45,7.53,1
209,0.07,1.67,6.86,0.77
150,0.12,3.35,5.99,0.98
50,0.1,10,2,0.8
55,0.15,3,4,0.8
250,0.03,10,5,0.96
195,0.06,3.07,5.38,0.87
300,0.02,15,4,0.91
65,0.15,3,4,0.93
1,0.05,2,40,1
